split,class,filename
train,bebop,B_S2_D1_067-bebop_002_.wav
train,bebop,B_S2_D1_071-bebop_003_.wav
train,bebop,mixed_49-bebop_002_.wav
train,bebop,mixed_16-bebop_004_.wav
train,bebop,mixed_31-bebop_002_.wav
train,bebop,B_S2_D1_105-bebop_002_.wav
train,bebop,mixed_34-bebop_000_.wav
train,bebop,mixed_59-bebop_003_.wav
train,bebop,mixed_5-bebop_003_.wav
train,bebop,B_S2_D1_117-bebop_004_.wav
train,bebop,B_S2_D1_125-bebop_003_.wav
train,bebop,B_S2_D1_124-bebop_001_.wav
train,bebop,mixed_34-bebop_003_.wav
train,bebop,B_S2_D1_103-bebop_004_.wav
train,bebop,mixed_11-bebop_004_.wav
train,bebop,mixed_44-bebop_004_.wav
train,bebop,mixed_12-bebop_003_.wav
train,bebop,mixed_33-bebop_000_.wav
train,bebop,mixed_65-bebop_001_.wav
train,bebop,mixed_1-bebop_003_.wav
train,bebop,mixed_49-bebop_001_.wav
train,bebop,mixed_62-bebop_002_.wav
train,bebop,mixed_24-bebop_001_.wav
train,bebop,mixed_26-bebop_004_.wav
train,bebop,B_S2_D1_128-bebop_002_.wav
train,bebop,B_S2_D1_113-bebop_000_.wav
train,bebop,B_S2_D1_077-bebop_002_.wav
train,bebop,B_S2_D1_130-bebop_004_.wav
train,bebop,B_S2_D1_069-bebop_002_.wav
train,bebop,mixed_44-bebop_001_.wav
train,bebop,B_S2_D1_097-bebop_000_.wav
train,bebop,B_S2_D1_088-bebop_001_.wav
train,bebop,B_S2_D1_094-bebop_001_.wav
train,bebop,mixed_10-bebop_000_.wav
train,bebop,mixed_66-bebop_002_.wav
train,bebop,mixed_21-bebop_002_.wav
train,bebop,mixed_11-bebop_001_.wav
train,bebop,B_S2_D1_120-bebop_003_.wav
train,bebop,B_S2_D1_117-bebop_003_.wav
train,bebop,mixed_52-bebop_002_.wav
train,bebop,mixed_51-bebop_001_.wav
train,bebop,B_S2_D1_125-bebop_000_.wav
train,bebop,mixed_62-bebop_000_.wav
train,bebop,B_S2_D1_069-bebop_004_.wav
train,bebop,mixed_28-bebop_003_.wav
train,bebop,B_S2_D1_068-bebop_003_.wav
train,bebop,B_S2_D1_130-bebop_000_.wav
train,bebop,mixed_12-bebop_000_.wav
train,bebop,B_S2_D1_114-bebop_000_.wav
train,bebop,B_S2_D1_118-bebop_000_.wav
train,bebop,B_S2_D1_081-bebop_002_.wav
train,bebop,mixed_29-bebop_001_.wav
train,bebop,B_S2_D1_085-bebop_002_.wav
train,bebop,B_S2_D1_104-bebop_000_.wav
train,bebop,B_S2_D1_127-bebop_002_.wav
train,bebop,B_S2_D1_090-bebop_001_.wav
train,bebop,mixed_11-bebop_000_.wav
train,bebop,mixed_25-bebop_003_.wav
train,bebop,B_S2_D1_087-bebop_000_.wav
train,bebop,B_S2_D1_081-bebop_004_.wav
train,bebop,B_S2_D1_128-bebop_004_.wav
train,bebop,B_S2_D1_079-bebop_002_.wav
train,bebop,B_S2_D1_090-bebop_003_.wav
train,bebop,mixed_39-bebop_000_.wav
train,bebop,B_S2_D1_087-bebop_001_.wav
train,bebop,B_S2_D1_073-bebop_003_.wav
